case,copies,recycled,round,implementation,allocations,allocated_bytes,elapsed_ns,state_hash,events
cold_vacuum,100000,false,2,fused,15,83883520,38302300,b6b3859469592f6e,0
cold_vacuum,100000,false,3,sequence,200015,117483520,76411800,b6b3859469592f6e,0
cold_vacuum,100000,false,3,fused,15,83883520,44245500,b6b3859469592f6e,0
cold_vacuum,100000,true,1,sequence,200000,33600000,50903700,502c880cb696225a,0
cold_vacuum,100000,true,1,fused,0,0,10913400,502c880cb696225a,0
cold_vacuum,100000,true,2,sequence,200000,33600000,51641400,502c880cb696225a,0
cold_vacuum,100000,true,2,fused,0,0,9206100,502c880cb696225a,0
cold_vacuum,100000,true,3,sequence,200000,33600000,57614700,502c880cb696225a,0
cold_vacuum,100000,true,3,fused,0,0,10193200,502c880cb696225a,0
warm_gas,100000,false,1,sequence,200015,117483520,84622000,3315c095a0aaf8ce,0
warm_gas,100000,false,1,fused,15,83883520,41216000,3315c095a0aaf8ce,0
warm_gas,100000,false,2,sequence,200015,117483520,78767300,3315c095a0aaf8ce,0
warm_gas,100000,false,2,fused,15,83883520,36772200,3315c095a0aaf8ce,0
warm_gas,100000,false,3,sequence,200015,117483520,89981600,3315c095a0aaf8ce,0
warm_gas,100000,false,3,fused,15,83883520,38673800,3315c095a0aaf8ce,0
warm_gas,100000,true,1,sequence,200000,33600000,41384400,2dd262c7bb0f61f2,0
warm_gas,100000,true,1,fused,0,0,6021100,2dd262c7bb0f61f2,0
warm_gas,100000,true,2,sequence,200000,33600000,53527000,2dd262c7bb0f61f2,0
warm_gas,100000,true,2,fused,0,0,10920200,2dd262c7bb0f61f2,0
warm_gas,100000,true,3,sequence,200000,33600000,51968000,2dd262c7bb0f61f2,0
warm_gas,100000,true,3,fused,0,0,10782100,2dd262c7bb0f61f2,0
custom_volume_immutable_source,100000,false,1,sequence,200015,117483520,86116400,6125f876023a6bd6,0
custom_volume_immutable_source,100000,false,1,fused,15,83883520,43313600,6125f876023a6bd6,0
custom_volume_immutable_source,100000,false,2,sequence,200015,117483520,97016600,6125f876023a6bd6,0
custom_volume_immutable_source,100000,false,2,fused,15,83883520,37837000,6125f876023a6bd6,0
custom_volume_immutable_source,100000,false,3,sequence,200015,117483520,87863700,6125f876023a6bd6,0
custom_volume_immutable_source,100000,false,3,fused,15,83883520,36107100,6125f876023a6bd6,0
custom_volume_immutable_source,100000,true,1,sequence,200000,33600000,57947100,749ddce8d460d38a,0
custom_volume_immutable_source,100000,true,1,fused,0,0,8161500,749ddce8d460d38a,0
custom_volume_immutable_source,100000,true,2,sequence,200000,33600000,85805800,749ddce8d460d38a,0
custom_volume_immutable_source,100000,true,2,fused,0,0,12990400,749ddce8d460d38a,0
custom_volume_immutable_source,100000,true,3,sequence,200000,33600000,71868200,749ddce8d460d38a,0
custom_volume_immutable_source,100000,true,3,fused,0,0,10929000,749ddce8d460d38a,0
negative_zero_volume,100000,false,1,sequence,200015,117483520,104791400,a3ef320029582816,0
negative_zero_volume,100000,false,1,fused,15,83883520,47658700,a3ef320029582816,0
negative_zero_volume,100000,false,2,sequence,200015,117483520,85120400,a3ef320029582816,0
negative_zero_volume,100000,false,2,fused,15,83883520,40493400,a3ef320029582816,0
negative_zero_volume,100000,false,3,sequence,200015,117483520,75425600,a3ef320029582816,0
negative_zero_volume,100000,false,3,fused,15,83883520,37270000,a3ef320029582816,0
negative_zero_volume,100000,true,1,sequence,200000,33600000,59604400,8c9232b04f32d562,0
negative_zero_volume,100000,true,1,fused,0,0,8524300,8c9232b04f32d562,0
negative_zero_volume,100000,true,2,sequence,200000,33600000,49679100,8c9232b04f32d562,0
negative_zero_volume,100000,true,2,fused,0,0,11237400,8c9232b04f32d562,0
negative_zero_volume,100000,true,3,sequence,200000,33600000,54177400,8c9232b04f32d562,0
negative_zero_volume,100000,true,3,fused,0,0,8577900,8c9232b04f32d562,0
