case,turfs,round,phase,allocations,allocated_bytes,elapsed_ns,state_hash,consumer_work,consumer_chunks
full_stage,100000,2,mutation,0,0,1100,3521712e2f9b2245,100000,1563
full_stage,100000,2,consumer,2,48,5449700,3521712e2f9b2245,100000,1563
full_stage,100000,3,mutation,0,0,900,3521712e2f9b2245,100000,1563
full_stage,100000,3,consumer,2,48,4905600,3521712e2f9b2245,100000,1563
burst_first_chunk,100000,1,mutation,0,0,14100,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,1,consumer,1,24,1900,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,2,mutation,0,0,22000,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,2,consumer,1,24,2100,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,3,mutation,0,0,14600,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,3,consumer,1,24,1900,47a1e818b41a1ba5,1,1
burst_full_stage,100000,1,mutation,0,0,16300,47a1e818b41a1ba5,100000,1563
burst_full_stage,100000,1,consumer,2,48,3894900,47a1e818b41a1ba5,100000,1563
burst_full_stage,100000,2,mutation,0,0,22600,47a1e818b41a1ba5,100000,1563
burst_full_stage,100000,2,consumer,2,48,5098900,47a1e818b41a1ba5,100000,1563
burst_full_stage,100000,3,mutation,0,0,16300,47a1e818b41a1ba5,100000,1563
burst_full_stage,100000,3,consumer,2,48,6036100,47a1e818b41a1ba5,100000,1563
